Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,1.310925,1.334882,1.277400,1.331824,1.331824,0
2019-03-01,1.326489,1.333156,1.296227,1.304495,1.304495,0
2019-04-01,1.302185,1.319609,1.286703,1.293243,1.293243,0
2019-05-01,1.304070,1.317697,1.256013,1.260970,1.260970,0
2019-06-01,1.263903,1.278396,1.250719,1.269599,1.269599,0
2019-07-01,1.269374,1.270810,1.212106,1.216160,1.216160,0
2019-08-01,1.215466,1.230527,1.201923,1.215894,1.215894,0
2019-09-01,1.215894,1.258305,1.195943,1.229317,1.229317,0
2019-10-01,1.229060,1.301270,1.219929,1.290173,1.290173,0
2019-11-01,1.293862,1.298212,1.276976,1.293000,1.293000,0
2019-12-01,1.292900,1.350986,1.289807,1.311303,1.311303,0
2020-01-01,1.325400,1.327100,1.295673,1.308900,1.308900,0
2020-02-01,1.320749,1.320749,1.275445,1.281839,1.281839,0
2020-03-01,1.282300,1.319975,1.147684,1.237164,1.237164,0
2020-04-01,1.241157,1.263775,1.220733,1.247147,1.247147,0
2020-05-01,1.258099,1.258099,1.208605,1.234499,1.234499,0
2020-06-01,1.234537,1.280033,1.225415,1.231057,1.231057,0
2020-07-01,1.238866,1.316968,1.236033,1.311785,1.311785,0
2020-08-01,1.308599,1.339316,1.298420,1.335648,1.335648,0
2020-09-01,1.336505,1.348072,1.267957,1.286654,1.286654,0
2020-10-01,1.291823,1.317141,1.282298,1.294901,1.294901,0
2020-11-01,1.294601,1.339870,1.285678,1.333191,1.333191,0
2020-12-01,1.333725,1.368457,1.313698,1.363066,1.363066,0
2021-01-01,1.369000,1.375989,1.345424,1.370601,1.370601,0
