Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,1.369000,1.375989,1.345424,1.370601,1.370601,0
2021-02-01,1.369807,1.421707,1.357147,1.393000,1.393000,0
2021-03-01,1.397624,1.401110,1.367073,1.374665,1.374665,0
2021-04-01,1.378873,1.400953,1.367054,1.395284,1.395284,0
2021-05-01,1.382000,1.423346,1.380548,1.418037,1.418037,0
2021-06-01,1.422758,1.424725,1.378721,1.384275,1.384275,0
2021-07-01,1.382762,1.398406,1.357368,1.390401,1.390401,0
2021-08-01,1.391001,1.395693,1.360359,1.376046,1.376046,0
2021-09-01,1.375370,1.391324,1.341742,1.342642,1.342642,0
2021-10-01,1.346965,1.383399,1.343634,1.369000,1.369000,0
2021-11-01,1.368644,1.369469,1.320620,1.331505,1.331505,0
2021-12-01,1.329593,1.335113,1.317471,1.322401,1.322401,0
2021-12-13,1.326665,1.326665,1.323714,1.325592,1.325592,0
