Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,1.558094,1.558458,1.495461,1.507000,1.507000,0
2015-02-01,1.507000,1.555403,1.499205,1.543805,1.543805,0
2015-03-01,1.543805,1.544807,1.463700,1.480911,1.480911,0
2015-04-01,1.483393,1.549427,1.457365,1.542686,1.542686,0
2015-05-01,1.535579,1.581303,1.509183,1.531910,1.531910,0
2015-06-01,1.528795,1.593143,1.517451,1.573193,1.573193,0
2015-07-01,1.568997,1.571833,1.533907,1.560428,1.560428,0
2015-08-01,1.562305,1.581778,1.533978,1.541806,1.541806,0
2015-09-01,1.536500,1.565925,1.511030,1.515795,1.515795,0
2015-10-01,1.512287,1.550869,1.511259,1.542900,1.542900,0
2015-11-01,1.544211,1.549907,1.499700,1.503895,1.503895,0
2015-12-01,1.505775,1.522997,1.474491,1.481921,1.481921,0
2016-01-01,1.473839,1.481701,1.408848,1.424603,1.424603,0
2016-02-01,1.424481,1.466813,1.383892,1.386194,1.386194,0
2016-03-01,1.393107,1.451379,1.391401,1.437401,1.437401,0
2016-04-01,1.436637,1.466706,1.400756,1.461710,1.461710,0
2016-05-01,1.461710,1.476887,1.433610,1.463507,1.463507,0
2016-06-01,1.448499,1.494701,1.313146,1.346584,1.346584,0
2016-07-01,1.333369,1.348127,1.282808,1.321633,1.321633,0
2016-08-01,1.321929,1.337310,1.286836,1.309072,1.309072,0
2016-09-01,1.313370,1.344267,1.291656,1.296344,1.296344,0
2016-10-01,1.298196,1.298196,1.208868,1.221598,1.221598,0
2016-11-01,1.223541,1.267267,1.221150,1.249219,1.249219,0
2016-12-01,1.251517,1.277302,1.220256,1.234004,1.234004,0
2017-01-01,1.234004,1.267427,1.199127,1.250000,1.250000,0
2017-02-01,1.258701,1.270567,1.234842,1.243936,1.243936,0
2017-03-01,1.237946,1.261575,1.211328,1.247847,1.247847,0
2017-04-01,1.255304,1.295874,1.236812,1.293159,1.293159,0
2017-05-01,1.293226,1.304802,1.277172,1.280902,1.280902,0
2017-06-01,1.287548,1.303101,1.259081,1.301118,1.301118,0
2017-07-01,1.302915,1.319644,1.281263,1.314492,1.314492,0
2017-08-01,1.319784,1.326084,1.277743,1.292056,1.292056,0
2017-09-01,1.294013,1.361582,1.290622,1.339674,1.339674,0
2017-10-01,1.339674,1.340249,1.302898,1.321248,1.321248,0
2017-11-01,1.329116,1.354885,1.304155,1.341724,1.341724,0
2017-12-01,1.353107,1.355014,1.330814,1.351607,1.351607,0
2018-01-01,1.351607,1.433959,1.345931,1.415588,1.415588,0
2018-02-01,1.420011,1.427633,1.377771,1.390608,1.390608,0
2018-03-01,1.375308,1.424501,1.371535,1.401699,1.401699,0
2018-04-01,1.401699,1.437711,1.371667,1.377107,1.377107,0
2018-05-01,1.377221,1.377600,1.320777,1.328356,1.328356,0
2018-06-01,1.328904,1.347346,1.305193,1.321004,1.321004,0
2018-07-01,1.321004,1.336005,1.295908,1.313543,1.313543,0
2018-08-01,1.311837,1.314579,1.266336,1.301101,1.301101,0
2018-09-01,1.296193,1.329610,1.279329,1.303101,1.303101,0
2018-10-01,1.303951,1.325732,1.270245,1.270890,1.270890,0
2018-11-01,1.276552,1.317436,1.272734,1.278445,1.278445,0
2018-12-01,1.276308,1.283401,1.248128,1.269358,1.269358,0
2019-01-01,1.275022,1.321004,1.251878,1.311716,1.311716,0
2019-02-01,1.310925,1.334882,1.277400,1.331824,1.331824,0
2019-03-01,1.326489,1.333156,1.296227,1.304495,1.304495,0
2019-04-01,1.302185,1.319609,1.286703,1.293243,1.293243,0
2019-05-01,1.304070,1.317697,1.256013,1.260970,1.260970,0
2019-06-01,1.263903,1.278396,1.250719,1.269599,1.269599,0
2019-07-01,1.269374,1.270810,1.212106,1.216160,1.216160,0
2019-08-01,1.215466,1.230527,1.201923,1.215894,1.215894,0
2019-09-01,1.215894,1.258305,1.195943,1.229317,1.229317,0
2019-10-01,1.229060,1.301270,1.219929,1.290173,1.290173,0
2019-11-01,1.293862,1.298212,1.276976,1.293000,1.293000,0
2019-12-01,1.292900,1.350986,1.289807,1.311303,1.311303,0
2020-01-01,1.325400,1.327100,1.295673,1.308900,1.308900,0
2020-02-01,1.320749,1.320749,1.275445,1.281839,1.281839,0
2020-03-01,1.282300,1.319975,1.147684,1.237164,1.237164,0
2020-04-01,1.241157,1.263775,1.220733,1.247147,1.247147,0
2020-05-01,1.258099,1.258099,1.208605,1.234499,1.234499,0
2020-06-01,1.234537,1.280033,1.225415,1.231057,1.231057,0
2020-07-01,1.238866,1.316968,1.236033,1.311785,1.311785,0
2020-08-01,1.308599,1.339316,1.298420,1.335648,1.335648,0
2020-09-01,1.336505,1.348072,1.267957,1.286654,1.286654,0
2020-10-01,1.291823,1.317141,1.282298,1.294901,1.294901,0
2020-11-01,1.294601,1.339870,1.285678,1.333191,1.333191,0
2020-12-01,1.333725,1.368457,1.313698,1.363066,1.363066,0
